school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Herbert Hoover MS,1017,51.1,48.9,≤5.0,33.6,7.4,5.3,≤5.0,48.6,≤5.0,≤5.0,≤5.0,8.9,Middle School,2016-2017,,
Francis Scott Key MS,923,52.9,47.1,≤5.0,10.6,43.9,39.3,≤5.0,≤5.0,≤5.0,11.1,74.3,10.0,Middle School,2016-2017,,
"Dr. Martin Luther King, Jr.  MS",581,49.1,50.9,≤5.0,11.0,40.4,28.2,≤5.0,15.1,≤5.0,8.4,48.9,11.0,Middle School,2016-2017,,
Kingsview MS,1041,49.4,50.6,≤5.0,26.3,24.5,13.9,≤5.0,30.2,≤5.0,≤5.0,19.4,7.3,Middle School,2016-2017,,
Lakelands Park MS,1067,48.4,51.6,≤5.0,16.0,14.2,20.6,≤5.0,45.1,≤5.0,≤5.0,23.3,11.2,Middle School,2016-2017,,
Col. E. Brooke Lee MS,730,50.8,49.2,≤5.0,8.5,25.2,57.3,≤5.0,6.3,≤5.0,17.0,64.7,13.7,Middle School,2016-2017,,
A. Mario Loiederman MS,919,35.7,64.3,≤5.0,6.4,19.2,60.1,≤5.0,10.9,≤5.0,19.9,58.1,11.2,Middle School,2016-2017,,
Montgomery Village MS,745,55.2,44.8,≤5.0,8.5,30.2,52.8,≤5.0,5.8,≤5.0,15.7,66.8,15.4,Middle School,2016-2017,,
Neelsville MS,915,49.9,50.1,≤5.0,8.0,34.1,47.3,≤5.0,6.9,≤5.0,17.5,59.9,9.8,Middle School,2016-2017,,
Newport Mill MS,593,49.4,50.6,≤5.0,8.6,15.9,48.2,≤5.0,22.1,≤5.0,12.3,46.2,18.0,Middle School,2016-2017,,
North Bethesda MS,1102,52.5,47.5,≤5.0,11.3,7.0,12.8,≤5.0,61.1,7.7,≤5.0,6.5,10.3,Middle School,2016-2017,,
Parkland MS,973,55.2,44.8,≤5.0,16.9,23.9,45.1,≤5.0,11.0,≤5.0,10.6,50.2,7.2,Middle School,2016-2017,,
Rosa M. Parks MS,869,51.7,48.3,≤5.0,10.2,11.9,11.5,≤5.0,61.8,≤5.0,≤5.0,10.1,8.4,Middle School,2016-2017,,
John Poole MS,360,44.4,55.6,≤5.0,6.9,6.1,11.4,≤5.0,72.2,≤5.0,≤5.0,11.1,8.9,Middle School,2016-2017,,
Thomas W. Pyle MS,1489,51.6,48.4,≤5.0,12.6,≤5.0,8.5,≤5.0,69.2,6.7,≤5.0,≤5.0,7.6,Middle School,2016-2017,,
Redland MS,553,47.7,52.3,≤5.0,14.8,17.7,35.3,≤5.0,28.6,≤5.0,9.4,41.2,11.2,Middle School,2016-2017,,
Ridgeview MS,752,52.5,47.5,≤5.0,14.8,14.8,26.1,≤5.0,38.7,5.6,6.8,28.7,7.8,Middle School,2016-2017,,
Rocky Hill MS,934,49.8,50.2,≤5.0,26.9,26.3,14.7,≤5.0,26.6,5.5,≤5.0,22.8,8.8,Middle School,2016-2017,,
Shady Grove MS,627,50.4,49.6,≤5.0,12.0,19.8,40.0,≤5.0,22.0,5.6,8.9,42.6,13.2,Middle School,2016-2017,,
Silver Spring International MS,1066,50.7,49.3,≤5.0,5.2,24.6,36.4,≤5.0,28.3,5.4,10.7,39.9,10.1,Middle School,2016-2017,,
Sligo MS,703,47.9,52.1,≤5.0,7.5,21.5,44.0,≤5.0,23.3,≤5.0,12.1,43.5,12.8,Middle School,2016-2017,,
Takoma Park MS,1075,52.8,47.2,≤5.0,19.2,30.0,15.5,≤5.0,30.0,5.3,7.7,27.3,7.6,Middle School,2016-2017,,
Tilden MS,911,54.1,45.9,≤5.0,16.7,11.2,18.7,≤5.0,46.9,6.4,9.8,11.9,16.2,Middle School,2016-2017,,
Hallie Wells MS,474,47.7,52.3,≤5.0,35.9,20.3,11.4,≤5.0,25.1,6.8,≤5.0,17.7,≤5.0,Middle School,2016-2017,,
Julius West MS,1316,52.6,47.4,≤5.0,19.2,15.7,24.8,≤5.0,33.7,6.4,9.1,24.7,8.5,Middle School,2016-2017,,
Westland MS,1352,52.9,47.1,≤5.0,5.3,11.6,15.2,≤5.0,62.6,≤5.0,5.8,10.8,9.7,Middle School,2016-2017,,
White Oak MS,772,53.5,46.5,≤5.0,10.2,32.3,46.1,≤5.0,8.8,≤5.0,14.9,60.2,8.9,Middle School,2016-2017,,
Earle B. Wood MS,1002,53.7,46.3,≤5.0,10.2,15.0,39.7,≤5.0,30.8,≤5.0,7.8,37.6,14.9,Middle School,2016-2017,,
Bethesda-Chevy Chase HS,2064,51.9,48.1,≤5.0,≤5.0,14.5,17.1,≤5.0,57.6,5.8,6.0,10.9,8.4,High School,2016-2017,,
Montgomery Blair HS,2952,51.0,49.0,≤5.0,15.3,24.5,33.5,≤5.0,22.3,≤5.0,14.9,36.0,6.7,High School,2016-2017,,
James Hubert Blake HS,1598,42.9,57.1,≤5.0,9.6,41.0,25.2,≤5.0,19.3,≤5.0,≤5.0,34.9,9.8,High School,2016-2017,,
Winston Churchill HS,2088,53.6,46.4,≤5.0,24.9,8.0,8.2,≤5.0,53.6,5.1,≤5.0,≤5.0,11.3,High School,2016-2017,,
Clarksburg HS,2114,48.8,51.2,≤5.0,17.9,27.7,28.2,≤5.0,21.6,≤5.0,6.6,27.1,9.1,High School,2016-2017,,
Damascus HS,1222,49.3,50.7,≤5.0,7.9,11.7,17.8,≤5.0,57.4,≤5.0,≤5.0,15.2,13.7,High School,2016-2017,,
Thomas Edison HS of Technology,576,70.3,29.7,≤5.0,≤5.0,18.8,62.0,≤5.0,12.7,≤5.0,23.6,47.9,26.6,High School,2016-2017,,
Albert Einstein HS,1748,47.1,52.9,≤5.0,9.8,17.8,49.7,≤5.0,19.3,≤5.0,14.7,42.2,13.8,High School,2016-2017,,
Gaithersburg HS,2380,53.2,46.8,≤5.0,7.6,24.7,48.9,≤5.0,15.4,≤5.0,21.8,42.3,13.6,High School,2016-2017,,
Walter Johnson HS,2345,52.3,47.7,≤5.0,11.6,9.6,18.1,≤5.0,54.5,5.9,≤5.0,7.0,11.3,High School,2016-2017,,
John F. Kennedy HS,1593,51.2,48.8,≤5.0,7.0,30.3,55.5,≤5.0,5.1,≤5.0,21.0,51.1,14.0,High School,2016-2017,,
Col. Zadok Magruder HS,1550,53.5,46.5,≤5.0,13.0,18.3,37.3,≤5.0,26.9,≤5.0,10.9,33.4,11.1,High School,2016-2017,,
Richard Montgomery HS,2391,49.2,50.8,≤5.0,25.9,16.5,23.3,≤5.0,29.5,≤5.0,7.4,19.8,6.7,High School,2016-2017,,
Northwest HS,2333,50.3,49.7,≤5.0,18.6,27.0,19.4,≤5.0,29.4,5.4,≤5.0,24.8,10.6,High School,2016-2017,,
Northwood HS,1651,49.2,50.8,≤5.0,6.2,24.0,54.0,≤5.0,13.3,≤5.0,22.7,49.8,10.7,High School,2016-2017,,
Paint Branch HS,2005,52.2,47.8,≤5.0,13.3,56.2,18.9,≤5.0,7.6,≤5.0,≤5.0,34.0,10.0,High School,2016-2017,,
Poolesville HS,1180,51.8,48.2,≤5.0,30.1,≤5.0,7.6,≤5.0,51.4,5.8,≤5.0,6.4,5.3,High School,2016-2017,,
Quince Orchard HS,1959,50.5,49.5,≤5.0,13.0,13.7,25.7,≤5.0,43.0,≤5.0,9.1,22.9,8.9,High School,2016-2017,,
Rockville HS,1451,55.0,45.0,≤5.0,11.9,13.0,41.3,≤5.0,30.0,≤5.0,12.8,35.6,15.2,High School,2016-2017,,
Seneca Valley HS,1203,50.0,50.0,≤5.0,11.6,33.7,31.9,≤5.0,18.4,≤5.0,12.4,36.7,12.1,High School,2016-2017,,
Sherwood HS,1922,51.5,48.5,≤5.0,11.3,17.1,17.8,≤5.0,49.6,≤5.0,10.6,17.2,8.5,High School,2016-2017,,
Springbrook HS,1792,58.1,41.9,≤5.0,11.5,39.1,37.8,≤5.0,7.8,≤5.0,15.3,47.3,9.5,High School,2016-2017,,
Watkins Mill HS,1584,55.2,44.8,≤5.0,8.0,31.4,46.6,≤5.0,9.3,≤5.0,21.8,53.4,12.5,High School,2016-2017,,
Wheaton HS,1762,60.1,39.9,≤5.0,12.6,24.7,52.3,≤5.0,8.2,≤5.0,19.1,49.4,10.8,High School,2016-2017,,
Walt Whitman HS,2055,50.0,50.0,≤5.0,14.3,≤5.0,9.6,≤5.0,67.5,≤5.0,≤5.0,≤5.0,9.1,High School,2016-2017,,
Thomas S. Wootton HS,2189,50.5,49.5,≤5.0,36.7,6.1,7.4,≤5.0,45.6,≤5.0,≤5.0,5.1,6.4,High School,2016-2017,,
Arcola ES,686,49.0,51.0,≤5.0,7.7,18.5,68.5,≤5.0,≤5.0,≤5.0,48.4,76.4,11.1,Elementary School,2017-2018,,
Ashburton ES,877,50.6,49.4,≤5.0,16,15.5,15.6,≤5.0,42.5,9.9,12.9,12.7,9.6,Elementary School,2017-2018,,
Bannockburn ES,449,51.2,48.8,≤5.0,12.9,≤5.0,8.7,≤5.0,67.5,6.9,8.5,≤5.0,6,Elementary School,2017-2018,,
Lucy V. Barnsley ES,724,56.6,43.4,≤5.0,13.7,10.1,33,≤5.0,34.1,8.7,14.4,29.1,14.5,Elementary School,2017-2018,,
Beall ES,783,53.1,46.9,≤5.0,24.6,11.5,23.6,≤5.0,34.2,5.6,18.4,25,9.8,Elementary School,2017-2018,,
Bel Pre ES,589,55.0,45.0,≤5.0,≤5.0,35.8,50.1,≤5.0,7.1,≤5.0,48.2,68.8,8.8,Elementary School,2017-2018,,
Bells Mill ES,609,50.4,49.6,≤5.0,29.9,11,9.4,≤5.0,44.2,5.6,8,9.5,8.5,Elementary School,2017-2018,,
Belmont ES,320,50.6,49.4,≤5.0,5.6,7.2,10.9,≤5.0,70.3,5.9,≤5.0,7.5,10.3,Elementary School,2017-2018,,
Bethesda ES,619,54.0,46.0,≤5.0,15.5,6.6,12.8,≤5.0,58.3,6.8,15,6.5,11,Elementary School,2017-2018,,
Beverly Farms ES,574,53.7,46.3,≤5.0,32.1,7.1,11.1,≤5.0,42.3,7.1,8.9,5.7,7,Elementary School,2017-2018,,
Bradley Hills ES,630,50.0,50.0,≤5.0,14.8,≤5.0,6.5,≤5.0,66.8,10.8,6.5,≤5.0,≤5.0,Elementary School,2017-2018,,
Brooke Grove ES,407,53.3,46.7,≤5.0,15.5,22.9,15,≤5.0,41,5.4,14,26.5,22.1,Elementary School,2017-2018,,
Brookhaven ES,477,52.8,47.2,≤5.0,8.4,30.8,48.6,≤5.0,9.4,≤5.0,39.6,67.3,21,Elementary School,2017-2018,,
Brown Station ES,579,52.3,47.7,≤5.0,11.7,26.1,48.4,≤5.0,10.7,≤5.0,32,66.7,17.1,Elementary School,2017-2018,,
Burning Tree ES,463,58.5,41.5,≤5.0,18.1,6.9,8.4,≤5.0,59.2,7.1,11.9,6,16.2,Elementary School,2017-2018,,
Burnt Mills ES,591,50.1,49.9,≤5.0,≤5.0,59.1,26.7,≤5.0,6.1,≤5.0,22.3,64,8,Elementary School,2017-2018,,
Burtonsville ES,580,53.3,46.7,≤5.0,11.7,59.7,19.7,≤5.0,5.5,≤5.0,13.8,39.3,≤5.0,Elementary School,2017-2018,,
Candlewood ES,376,51.9,48.1,≤5.0,17,15.2,16.5,≤5.0,45.5,5.3,15.4,20.7,8.8,Elementary School,2017-2018,,
Cannon Road ES,407,50.9,49.1,≤5.0,10.1,34.6,47.2,≤5.0,≤5.0,≤5.0,11.1,60.2,10.3,Elementary School,2017-2018,,
Carderock Springs ES,393,50.6,49.4,≤5.0,17.6,≤5.0,9.9,≤5.0,61.8,7.6,5.9,≤5.0,12.2,Elementary School,2017-2018,,
Rachel Carson ES,1022,51.0,49.0,≤5.0,16.3,8.6,19.1,≤5.0,48,7.8,13.4,20.8,9.2,Elementary School,2017-2018,,
Cashell ES,382,54.2,45.8,≤5.0,7.6,15.2,25.1,≤5.0,42.9,9.2,12.8,24.6,14.1,Elementary School,2017-2018,,
Cedar Grove ES,612,48.5,51.5,≤5.0,38.9,11.8,10.6,≤5.0,34,≤5.0,11.1,9.5,10.8,Elementary School,2017-2018,,
Chevy Chase ES,423,49.2,50.8,≤5.0,8.3,16.3,12.3,≤5.0,56.3,6.9,8.3,19.4,≤5.0,Elementary School,2017-2018,,
Clarksburg ES,402,53.7,46.3,≤5.0,37.6,20.6,13.4,≤5.0,20.4,7.5,14.4,19.2,9.7,Elementary School,2017-2018,,
Clearspring ES,663,55.2,44.8,≤5.0,13.3,21.4,20.2,≤5.0,35.7,9,10.1,30.9,13.6,Elementary School,2017-2018,,
Clopper Mill ES,541,50.8,49.2,≤5.0,8.1,36.6,44,≤5.0,7,≤5.0,31.2,64.5,12.2,Elementary School,2017-2018,,
Cloverly ES,500,52.8,47.2,≤5.0,16.2,25,22.2,≤5.0,28.6,7.6,14,19.2,17.4,Elementary School,2017-2018,,
Cold Spring ES,327,51.4,48.6,≤5.0,43.1,≤5.0,7,≤5.0,37,9.5,≤5.0,≤5.0,6.1,Elementary School,2017-2018,,
College Gardens ES,880,50.6,49.4,≤5.0,24,17.8,14,≤5.0,36,8,13.4,12.8,7,Elementary School,2017-2018,,
Cresthaven ES,560,51.8,48.2,≤5.0,9.5,38.8,45.7,≤5.0,≤5.0,≤5.0,37.5,69.6,14.8,Elementary School,2017-2018,,
Capt. James E. Daly ES,615,51.5,48.5,≤5.0,6.2,37.4,46.7,≤5.0,6.3,≤5.0,40.5,70.7,10.2,Elementary School,2017-2018,,
Damascus ES,331,50.5,49.5,≤5.0,≤5.0,6.3,30.2,≤5.0,53.2,6.9,19.9,28.7,18.1,Elementary School,2017-2018,,
Darnestown ES,284,50.0,50.0,≤5.0,11.3,6,≤5.0,≤5.0,73.2,6,≤5.0,≤5.0,7.7,Elementary School,2017-2018,,
Diamond ES,738,50.5,49.5,≤5.0,49.5,9.5,12.2,≤5.0,23.3,5.6,25.9,9.5,10.3,Elementary School,2017-2018,,
Dr. Charles R. Drew ES,500,51.0,49.0,≤5.0,14.4,42.8,24.2,≤5.0,12.2,6,24,48.6,13.8,Elementary School,2017-2018,,
DuFief ES,313,56.2,43.8,≤5.0,26.5,9.9,13.7,≤5.0,41.5,8,19.2,15.7,28.1,Elementary School,2017-2018,,
East Silver Spring ES,539,54.0,46.0,≤5.0,≤5.0,54.7,22.4,≤5.0,14.7,≤5.0,31.4,51.4,13.7,Elementary School,2017-2018,,
Fairland ES,631,55.2,44.8,≤5.0,7.9,56.9,24.9,≤5.0,5.1,≤5.0,20.6,63.2,12.7,Elementary School,2017-2018,,
Fallsmead ES,558,51.8,48.2,≤5.0,30.3,9.1,8.6,≤5.0,45.5,5.9,11.6,9.9,8.8,Elementary School,2017-2018,,
Farmland ES,797,50.9,49.1,≤5.0,33.4,5.3,10.3,≤5.0,46.8,≤5.0,23,6.9,8.8,Elementary School,2017-2018,,
Fields Road ES,467,52.7,47.3,≤5.0,15.6,17.6,35.5,≤5.0,26.6,≤5.0,25.3,43.5,12,Elementary School,2017-2018,,
Flower Hill ES,491,55.2,44.8,≤5.0,10.4,31.2,46.2,≤5.0,7.1,≤5.0,36.5,62.1,11.2,Elementary School,2017-2018,,
Flower Valley ES,474,57.0,43.0,≤5.0,10.1,14.8,24.3,≤5.0,42.4,8.4,16,23.6,18.1,Elementary School,2017-2018,,
Forest Knolls ES,734,49.6,50.4,≤5.0,5.2,15.3,39.8,≤5.0,33.8,5.9,18.7,32.6,10.4,Elementary School,2017-2018,,
Fox Chapel ES,619,48.8,51.2,≤5.0,17.3,26.5,42.2,≤5.0,9,≤5.0,34.1,57.8,6.9,Elementary School,2017-2018,,
Gaithersburg ES,857,54.6,45.4,≤5.0,≤5.0,15.3,76.2,≤5.0,≤5.0,≤5.0,50.5,85.4,11.2,Elementary School,2017-2018,,
Galway ES,788,52.7,47.3,≤5.0,9.1,62.9,22.7,≤5.0,≤5.0,≤5.0,31,57.6,10.3,Elementary School,2017-2018,,
Garrett Park ES,815,52.3,47.7,≤5.0,15.8,11.2,24.9,≤5.0,40.7,7.1,19.6,15.1,6,Elementary School,2017-2018,,
Georgian Forest ES,633,52.0,48.0,≤5.0,5.1,26.7,57.3,≤5.0,7.6,≤5.0,37.1,77.4,11.1,Elementary School,2017-2018,,
Germantown ES,321,58.6,41.4,≤5.0,15,35.5,25.2,≤5.0,18.1,5.9,15.6,34,22.7,Elementary School,2017-2018,,
"William B. Gibbs, Jr. ES",705,51.9,48.1,≤5.0,27.9,27.2,18.2,≤5.0,19.3,7.1,13.3,32.6,15.7,Elementary School,2017-2018,,
Glen Haven ES,503,52.7,47.3,≤5.0,7.8,24.9,47.9,≤5.0,15.3,≤5.0,33.4,54.1,12.5,Elementary School,2017-2018,,
Glenallan ES,717,54.1,45.9,≤5.0,10.6,34.6,43.1,≤5.0,8.6,≤5.0,27.2,56.6,11,Elementary School,2017-2018,,
Goshen ES,621,51.0,49.0,≤5.0,11.4,24,37.5,≤5.0,21.3,5.6,22.1,41.5,15.1,Elementary School,2017-2018,,
Great Seneca Creek ES,628,53.7,46.3,≤5.0,12.3,33.1,26.4,≤5.0,21.5,5.9,17.4,39.8,11.5,Elementary School,2017-2018,,
Greencastle ES,711,50.6,49.4,≤5.0,6.8,66,20.7,≤5.0,≤5.0,≤5.0,20.4,57.8,10.7,Elementary School,2017-2018,,
Greenwood ES,485,49.7,50.3,≤5.0,7.6,10.7,9.9,≤5.0,64.7,7,7,8.2,7,Elementary School,2017-2018,,
Harmony Hills ES,735,51.0,49.0,≤5.0,5.6,13.5,76.7,≤5.0,≤5.0,≤5.0,53.6,85.2,8.4,Elementary School,2017-2018,,
Highland ES,583,55.1,44.9,≤5.0,6.5,11.1,72.7,≤5.0,6.5,≤5.0,52.8,81.3,10.5,Elementary School,2017-2018,,
Highland View ES,397,48.4,51.6,≤5.0,≤5.0,26.7,30.7,≤5.0,35.3,≤5.0,34.5,45.1,5.5,Elementary School,2017-2018,,
Jackson Road ES,684,52.5,47.5,≤5.0,9.5,51.8,33.9,≤5.0,≤5.0,≤5.0,34.4,76.6,14.5,Elementary School,2017-2018,,
Jones Lane ES,447,54.1,45.9,≤5.0,9.2,13.9,27.3,≤5.0,43.6,5.8,18.6,26.4,14.1,Elementary School,2017-2018,,
Kemp Mill ES,532,48.3,51.7,≤5.0,≤5.0,14.8,77.1,≤5.0,≤5.0,≤5.0,51.9,79.1,7.7,Elementary School,2017-2018,,
Kensington Parkwood ES,657,52.2,47.8,≤5.0,7.3,5.6,11.1,≤5.0,65.6,10.2,8.2,8.5,8.8,Elementary School,2017-2018,,
Lake Seneca ES,545,51.6,48.4,≤5.0,5.9,37.6,38.5,≤5.0,12.5,≤5.0,30.6,56.9,16,Elementary School,2017-2018,,
Lakewood ES,519,50.1,49.9,≤5.0,44.5,10.8,8.3,≤5.0,29.9,5.8,10.6,6.6,11.6,Elementary School,2017-2018,,
Laytonsville ES,377,53.6,46.4,≤5.0,6.9,18.8,19.4,≤5.0,45.6,8.8,7.7,17.2,15.6,Elementary School,2017-2018,,
JoAnn Leleck ES,851,50.6,49.4,≤5.0,≤5.0,13,83,≤5.0,≤5.0,≤5.0,73.7,90.2,6.3,Elementary School,2017-2018,,
Little Bennett ES,629,51.4,48.6,≤5.0,29.4,20.5,14.9,≤5.0,27.2,7.6,10.7,17.5,14.6,Elementary School,2017-2018,,
Luxmanor ES,523,50.3,49.7,≤5.0,22.9,14.5,18.9,≤5.0,38.2,5.4,26.4,17.4,13.2,Elementary School,2017-2018,,
Thurgood Marshall ES,684,52.8,47.2,≤5.0,17.1,18.4,27.5,≤5.0,31.7,≤5.0,15.6,33.2,14.3,Elementary School,2017-2018,,
Maryvale ES,650,45.8,54.2,≤5.0,9.8,26,34.6,≤5.0,21.8,7.4,28.2,44,9.4,Elementary School,2017-2018,,
Spark M. Matsunaga ES,770,48.2,51.8,≤5.0,39.9,21.7,14,≤5.0,20,≤5.0,12.1,20.9,6.9,Elementary School,2017-2018,,
S. Christa McAuliffe ES,582,50.5,49.5,≤5.0,9.1,38.1,30.4,≤5.0,15.1,6.5,25.4,46.2,9.5,Elementary School,2017-2018,,
Ronald McNair ES,845,53.3,46.7,≤5.0,29.6,25.1,17.4,≤5.0,18.6,9,17,24,7,Elementary School,2017-2018,,
Meadow Hall ES,423,54.8,45.2,≤5.0,10.9,12.1,51.3,≤5.0,18.7,6.4,27,56.5,18.7,Elementary School,2017-2018,,
Mill Creek Towne ES,389,50.1,49.9,≤5.0,10.8,15.9,47.6,≤5.0,19.3,5.9,30.1,49.9,20.6,Elementary School,2017-2018,,
Monocacy ES,146,56.2,43.8,≤5.0,≤5.0,≤5.0,14.4,≤5.0,72.6,6.8,6.8,17.8,11,Elementary School,2017-2018,,
Montgomery Knolls ES,493,56.8,43.2,≤5.0,≤5.0,31.4,45.4,≤5.0,13,5.3,47.3,61.9,22.1,Elementary School,2017-2018,,
New Hampshire Estates ES,459,51.9,48.1,≤5.0,≤5.0,20.9,71.7,≤5.0,≤5.0,≤5.0,67.1,89.3,9.6,Elementary School,2017-2018,,
Roscoe R. Nix ES,498,55.0,45.0,≤5.0,7.2,35.9,50.2,≤5.0,≤5.0,≤5.0,57.2,73.7,8,Elementary School,2017-2018,,
North Chevy Chase ES,281,53.7,46.3,≤5.0,≤5.0,17.8,13.9,≤5.0,57.7,6.8,8.9,13.9,8.9,Elementary School,2017-2018,,
Oak View ES,471,51.4,48.6,≤5.0,≤5.0,19.3,62.6,≤5.0,11,≤5.0,38.9,72,8.1,Elementary School,2017-2018,,
Oakland Terrace ES,488,49.0,51.0,≤5.0,7.4,11.7,34.8,≤5.0,35.5,10.2,13.3,33,16.4,Elementary School,2017-2018,,
Olney ES,686,52.3,47.7,≤5.0,13.8,17.2,15,≤5.0,46.5,7.4,12.4,18.5,10.1,Elementary School,2017-2018,,
William Tyler Page ES,439,49.4,50.6,≤5.0,13.4,52.2,25.3,≤5.0,5.7,≤5.0,19.8,46.2,6.8,Elementary School,2017-2018,,
Pine Crest ES,468,53.2,46.8,≤5.0,5.6,22.9,39.1,≤5.0,29.1,≤5.0,29.9,48.1,10,Elementary School,2017-2018,,
Piney Branch ES,660,47.4,52.6,≤5.0,≤5.0,36.1,18.9,≤5.0,36.4,5.5,19.7,31.1,8.5,Elementary School,2017-2018,,
Poolesville ES,448,52.7,47.3,≤5.0,7.6,5.8,12.5,≤5.0,66.3,7.6,6.7,11.8,8,Elementary School,2017-2018,,
Potomac ES,444,50.5,49.5,≤5.0,38.1,5.6,6.1,≤5.0,43.9,6.3,6.1,≤5.0,7,Elementary School,2017-2018,,
Judith A. Resnik ES,636,50.8,49.2,≤5.0,11.5,30.8,39,≤5.0,13.7,≤5.0,29.6,54.1,8.5,Elementary School,2017-2018,,
Dr. Sally K. Ride ES,478,53.8,46.2,≤5.0,15.5,40.2,30.5,≤5.0,10.3,≤5.0,20.7,49,22,Elementary School,2017-2018,,
Ritchie Park ES,540,49.3,50.7,≤5.0,20.7,14.6,19.6,≤5.0,37.8,6.9,13.5,20.9,6.3,Elementary School,2017-2018,,
Rock Creek Forest ES,753,50.1,49.9,≤5.0,5.7,17.3,32.9,≤5.0,38.4,5.4,16.3,24.7,10.1,Elementary School,2017-2018,,
Rock Creek Valley ES,416,52.6,47.4,≤5.0,15.9,9.6,36.5,≤5.0,29.1,8.7,21.9,28.6,21.9,Elementary School,2017-2018,,
Rock View ES,606,55.9,44.1,≤5.0,10.6,15.5,44.9,≤5.0,22.6,5.8,27.4,48.2,19.3,Elementary School,2017-2018,,
Lois P. Rockwell ES,470,51.7,48.3,≤5.0,11.1,12.1,23.6,≤5.0,47.4,5.3,10.6,18.9,20.2,Elementary School,2017-2018,,
Rolling Terrace ES,892,47.6,52.4,≤5.0,≤5.0,14.9,67.9,≤5.0,11.4,≤5.0,52.2,71.9,7.2,Elementary School,2017-2018,,
Rosemary Hills ES,589,51.4,48.6,≤5.0,5.6,24.6,11,≤5.0,51.1,7,17.5,26.3,9.8,Elementary School,2017-2018,,
Rosemont ES,619,53.3,46.7,≤5.0,9.4,27.5,49.1,≤5.0,9.7,≤5.0,45.7,59.6,12.3,Elementary School,2017-2018,,
Sequoyah ES,384,51.8,48.2,≤5.0,12,12.2,48.7,≤5.0,21.6,5.2,37.2,52.3,12.8,Elementary School,2017-2018,,
Seven Locks ES,405,44.9,55.1,≤5.0,21.5,8.9,11.6,≤5.0,52.1,5.9,9.9,≤5.0,6.4,Elementary School,2017-2018,,
Sherwood ES,493,54.6,45.4,≤5.0,12.4,19.9,18.1,≤5.0,41.8,7.5,10.3,16.4,19.9,Elementary School,2017-2018,,
Sargent Shriver ES,796,52.1,47.9,≤5.0,7.8,8.9,78.3,≤5.0,≤5.0,≤5.0,53.6,82.7,8.3,Elementary School,2017-2018,,
Flora M. Singer ES,709,54.7,45.3,≤5.0,7.2,13.5,37,≤5.0,37,5.2,29.1,40.3,16.1,Elementary School,2017-2018,,
Sligo Creek ES,671,49.3,50.7,≤5.0,5.1,22.5,11.5,≤5.0,52.5,8.2,10.1,9.8,8.6,Elementary School,2017-2018,,
Somerset ES,595,48.2,51.8,≤5.0,8.7,5.7,13.8,≤5.0,63.4,8.1,17.3,7.1,5.5,Elementary School,2017-2018,,
South Lake ES,839,53.3,46.7,≤5.0,5.4,26.2,63.8,≤5.0,≤5.0,≤5.0,57.2,82.7,6.3,Elementary School,2017-2018,,
Stedwick ES,607,49.3,50.7,≤5.0,≤5.0,28.5,48.1,≤5.0,12.4,5.8,42.2,65.1,15,Elementary School,2017-2018,,
Stone Mill ES,601,53.1,46.9,≤5.0,50.9,11,6.2,≤5.0,26,6,11.3,10,11.1,Elementary School,2017-2018,,
Stonegate ES,510,49.6,50.4,≤5.0,13.5,35.1,21.6,≤5.0,20.4,9,15.5,24.5,16.9,Elementary School,2017-2018,,
Strathmore ES,436,53.9,46.1,≤5.0,6,41.1,42.9,≤5.0,5.7,≤5.0,32.6,66.1,12.6,Elementary School,2017-2018,,
Strawberry Knoll ES,658,48.9,51.1,≤5.0,14,25.8,40.6,≤5.0,12.3,6.7,21.6,43.3,16.4,Elementary School,2017-2018,,
Summit Hall ES,668,52.8,47.2,≤5.0,≤5.0,20.7,70.4,≤5.0,≤5.0,≤5.0,54.5,76.5,10.8,Elementary School,2017-2018,,
Takoma Park ES,623,52.8,47.2,≤5.0,≤5.0,30.8,15.9,≤5.0,43.3,6.1,23,28.6,8,Elementary School,2017-2018,,
Travilah ES,399,48.4,51.6,≤5.0,45.9,6.3,9,≤5.0,35.8,≤5.0,7.8,7.5,8.5,Elementary School,2017-2018,,
Twinbrook ES,549,54.5,45.5,≤5.0,13.1,9.7,63,≤5.0,9.7,≤5.0,55,70.1,9.8,Elementary School,2017-2018,,
Viers Mill ES,644,50.2,49.8,≤5.0,8.9,11.2,63.2,≤5.0,13.7,≤5.0,42.9,60.6,17.7,Elementary School,2017-2018,,
Washington Grove ES,482,53.1,46.9,≤5.0,5.8,23.2,59.3,≤5.0,8.7,≤5.0,52.1,72.8,16.4,Elementary School,2017-2018,,
Waters Landing ES,710,51.4,48.6,≤5.0,5.4,37.5,37.5,≤5.0,13.8,5.9,26.3,52,12.3,Elementary School,2017-2018,,
Watkins Mill ES,696,53.3,46.7,≤5.0,7.6,29.5,53.6,≤5.0,≤5.0,≤5.0,49.6,79,17.1,Elementary School,2017-2018,,
Wayside ES,548,53.3,46.7,≤5.0,46.2,7.1,7.1,≤5.0,33.2,6.4,9.5,≤5.0,9.1,Elementary School,2017-2018,,
Weller Road ES,701,49.1,50.9,≤5.0,7,6.7,79.3,≤5.0,≤5.0,≤5.0,54.1,80.2,12.3,Elementary School,2017-2018,,
