school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,level,Year
Springbrook HS,1694,58.9,41.1,≤5.0,12.9,39.0,39.3,≤5.0,6.1,≤5.0,17.2,56.2,8.1,High School,2021-2022
Watkins Mill HS,1597,54.2,45.8,≤5.0,9.6,26.2,54.9,≤5.0,6.4,≤5.0,23.4,62.0,13.3,High School,2021-2022
Wheaton HS,2280,59.0,41.0,≤5.0,11.8,20.2,55.9,≤5.0,9.5,≤5.0,17.2,55.5,8.5,High School,2021-2022
Walt Whitman HS,1991,52.2,47.7,≤5.0,14.0,≤5.0,10.3,≤5.0,64.5,6.9,≤5.0,≤5.0,9.4,High School,2021-2022
Thomas S. Wootton HS,2037,49.8,50.1,≤5.0,36.5,10.4,8.3,≤5.0,40.1,≤5.0,≤5.0,7.2,7.0,High School,2021-2022
Arcola ES,703,51.2,48.8,≤5.0,5.4,19.1,69.0,≤5.0,≤5.0,≤5.0,43.0,78.0,8.0,Elementary School,2021-2022
Ashburton ES,900,50.4,49.4,≤5.0,17.7,15.9,18.0,≤5.0,38.1,9.7,13.7,11.9,7.6,Elementary School,2021-2022
Bannockburn ES,401,50.9,49.1,≤5.0,12.5,≤5.0,10.0,≤5.0,64.1,8.5,≤5.0,≤5.0,9.2,Elementary School,2021-2022
Lucy V. Barnsley ES,701,54.9,45.1,≤5.0,12.6,12.7,35.1,≤5.0,30.5,8.1,14.1,33.7,12.6,Elementary School,2021-2022
Beall ES,516,50.6,49.4,≤5.0,14.3,15.9,22.1,≤5.0,39.5,7.9,12.8,30.6,13.4,Elementary School,2021-2022
Bel Pre ES,549,52.6,47.4,≤5.0,5.6,30.4,52.8,≤5.0,7.1,≤5.0,37.9,67.0,7.5,Elementary School,2021-2022
Bells Mill ES,579,53.0,47.0,≤5.0,29.5,12.8,9.7,≤5.0,40.2,7.4,10.0,11.2,7.3,Elementary School,2021-2022
Belmont ES,340,49.4,50.6,≤5.0,7.6,10.6,13.2,≤5.0,62.1,6.5,≤5.0,9.4,9.1,Elementary School,2021-2022
Bethesda ES,619,53.6,46.4,≤5.0,17.4,9.2,17.0,≤5.0,47.8,8.6,16.2,12.0,11.6,Elementary School,2021-2022
Beverly Farms ES,570,52.6,47.4,≤5.0,33.5,8.2,7.5,≤5.0,42.6,7.7,10.2,6.3,8.4,Elementary School,2021-2022
Bradley Hills ES,497,52.7,47.3,≤5.0,16.5,≤5.0,8.9,≤5.0,62.2,9.9,≤5.0,≤5.0,6.4,Elementary School,2021-2022
Brooke Grove ES,450,54.2,45.8,≤5.0,14.0,28.2,14.7,≤5.0,36.0,6.9,11.1,24.9,23.3,Elementary School,2021-2022
Brookhaven ES,421,52.3,47.7,≤5.0,8.3,28.5,50.4,≤5.0,8.1,≤5.0,31.1,69.1,23.3,Elementary School,2021-2022
Brown Station ES,612,50.8,49.2,≤5.0,12.9,22.9,52.6,≤5.0,7.8,≤5.0,32.2,69.1,16.7,Elementary School,2021-2022
Burning Tree ES,420,51.9,48.1,≤5.0,22.6,8.8,8.3,≤5.0,54.8,5.2,11.2,6.4,20.5,Elementary School,2021-2022
Burnt Mills ES,607,47.3,52.7,≤5.0,7.4,56.2,22.7,≤5.0,7.7,5.6,16.8,64.6,8.7,Elementary School,2021-2022
Burtonsville ES,608,52.1,47.9,≤5.0,11.7,61.2,19.4,≤5.0,5.1,≤5.0,12.7,46.9,6.9,Elementary School,2021-2022
Candlewood ES,398,55.8,44.2,≤5.0,18.1,15.1,17.3,≤5.0,41.5,7.5,18.1,21.6,9.8,Elementary School,2021-2022
Cannon Road ES,421,58.0,42.0,≤5.0,10.9,32.5,48.2,≤5.0,≤5.0,≤5.0,13.3,57.7,18.8,Elementary School,2021-2022
Carderock Springs ES,319,54.5,45.5,≤5.0,15.7,≤5.0,14.4,≤5.0,54.9,10.3,7.2,≤5.0,11.9,Elementary School,2021-2022
Rachel Carson ES,792,52.4,47.6,≤5.0,18.8,6.9,21.2,≤5.0,45.8,7.2,14.1,20.2,9.1,Elementary School,2021-2022
Cashell ES,313,49.2,50.8,≤5.0,7.0,16.3,22.0,≤5.0,40.9,13.7,8.3,25.2,16.3,Elementary School,2021-2022
Cedar Grove ES,379,47.2,52.8,≤5.0,41.2,17.2,13.2,≤5.0,23.0,≤5.0,9.8,13.5,13.2,Elementary School,2021-2022
Chevy Chase ES,441,49.2,50.8,≤5.0,9.1,19.0,9.5,≤5.0,55.1,7.3,8.6,19.7,7.3,Elementary School,2021-2022
Clarksburg ES,690,53.0,47.0,≤5.0,35.1,27.5,16.7,≤5.0,13.0,7.4,18.7,20.3,7.8,Elementary School,2021-2022
Clearspring ES,562,52.0,48.0,≤5.0,14.6,21.0,23.5,≤5.0,34.3,5.9,9.6,35.2,15.8,Elementary School,2021-2022
Clopper Mill ES,478,52.3,47.7,≤5.0,9.2,33.7,45.0,≤5.0,7.3,≤5.0,23.6,69.0,12.6,Elementary School,2021-2022
Cloverly ES,476,54.6,45.4,≤5.0,14.9,26.5,27.1,≤5.0,24.4,6.9,15.1,24.2,20.8,Elementary School,2021-2022
Cold Spring ES,317,56.5,43.5,≤5.0,40.4,≤5.0,≤5.0,≤5.0,43.8,7.9,≤5.0,≤5.0,7.9,Elementary School,2021-2022
College Gardens ES,582,51.5,48.5,≤5.0,20.3,24.4,20.1,≤5.0,27.5,7.2,13.4,23.9,11.7,Elementary School,2021-2022
Cresthaven ES,491,59.3,40.7,≤5.0,7.5,37.7,51.3,≤5.0,≤5.0,≤5.0,46.0,75.6,18.3,Elementary School,2021-2022
Capt. James E. Daly ES,578,52.9,47.1,≤5.0,6.6,32.2,53.3,≤5.0,≤5.0,≤5.0,42.9,79.6,8.1,Elementary School,2021-2022
Damascus ES,354,51.7,48.3,≤5.0,5.6,7.1,40.4,≤5.0,40.4,5.9,20.6,30.8,20.6,Elementary School,2021-2022
Darnestown ES,301,52.2,47.8,≤5.0,12.6,8.6,7.0,≤5.0,64.8,7.0,6.3,6.0,17.6,Elementary School,2021-2022
Diamond ES,780,54.1,45.9,≤5.0,50.9,8.3,10.1,≤5.0,25.6,≤5.0,19.6,6.5,12.3,Elementary School,2021-2022
Dr. Charles R. Drew ES,468,51.3,48.7,≤5.0,13.2,45.1,23.1,≤5.0,13.2,≤5.0,17.1,53.6,14.1,Elementary School,2021-2022
DuFief ES,305,55.7,44.3,≤5.0,30.5,15.1,14.8,≤5.0,28.2,11.1,19.3,14.1,33.1,Elementary School,2021-2022
East Silver Spring ES,481,55.1,44.7,≤5.0,≤5.0,52.4,21.4,≤5.0,17.9,≤5.0,19.8,54.7,15.2,Elementary School,2021-2022
Fairland ES,585,52.5,47.5,≤5.0,5.8,60.0,25.8,≤5.0,≤5.0,≤5.0,16.1,67.5,14.4,Elementary School,2021-2022
Fallsmead ES,520,51.0,49.0,≤5.0,36.7,13.3,9.2,≤5.0,35.0,≤5.0,12.1,10.8,9.8,Elementary School,2021-2022
Farmland ES,773,53.7,46.3,≤5.0,32.9,9.8,10.9,≤5.0,42.2,≤5.0,20.8,9.7,11.4,Elementary School,2021-2022
Fields Road ES,458,54.6,45.4,≤5.0,14.2,18.6,33.6,≤5.0,26.6,6.8,17.7,40.4,14.0,Elementary School,2021-2022
Flower Hill ES,441,53.1,46.9,≤5.0,12.5,24.3,50.3,≤5.0,7.0,5.9,35.4,62.6,12.2,Elementary School,2021-2022
Flower Valley ES,470,55.3,44.7,≤5.0,9.1,18.5,26.2,≤5.0,36.6,9.4,16.4,29.1,14.9,Elementary School,2021-2022
Forest Knolls ES,543,48.3,51.7,≤5.0,≤5.0,14.2,40.3,≤5.0,31.7,8.3,14.0,32.2,13.4,Elementary School,2021-2022
Fox Chapel ES,589,50.9,49.1,≤5.0,15.6,23.3,45.2,≤5.0,10.7,≤5.0,26.5,54.3,10.5,Elementary School,2021-2022
Gaithersburg ES,825,51.0,49.0,≤5.0,≤5.0,13.3,79.5,≤5.0,≤5.0,≤5.0,46.9,85.7,10.5,Elementary School,2021-2022
Galway ES,750,52.5,47.5,≤5.0,9.5,59.6,25.9,≤5.0,≤5.0,≤5.0,26.0,63.1,12.5,Elementary School,2021-2022
Garrett Park ES,729,53.6,46.4,≤5.0,15.6,14.4,23.0,≤5.0,38.0,8.5,22.5,19.8,7.5,Elementary School,2021-2022
Georgian Forest ES,568,54.0,46.0,≤5.0,≤5.0,24.6,63.4,≤5.0,6.2,≤5.0,42.1,76.9,7.4,Elementary School,2021-2022
Germantown ES,301,55.5,44.5,≤5.0,16.6,36.5,24.9,≤5.0,15.6,5.3,13.0,40.9,27.6,Elementary School,2021-2022
"William B. Gibbs, Jr. ES",551,54.3,45.7,≤5.0,27.4,28.1,20.5,≤5.0,17.4,6.5,14.3,31.4,16.9,Elementary School,2021-2022
School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,,2021-2022
Arcola ES,703,51.2,48.8,≤5.0,5.4,19.1,69.0,≤5.0,≤5.0,≤5.0,43.0,78.0,8.0,Elementary School,2021-2022
Ashburton ES,900,50.4,49.4,≤5.0,17.7,15.9,18.0,≤5.0,38.1,9.7,13.7,11.9,7.6,Elementary School,2021-2022
Bannockburn ES,401,50.9,49.1,≤5.0,12.5,≤5.0,10.0,≤5.0,64.1,8.5,≤5.0,≤5.0,9.2,Elementary School,2021-2022
Lucy V. Barnsley ES,701,54.9,45.1,≤5.0,12.6,12.7,35.1,≤5.0,30.5,8.1,14.1,33.7,12.6,Elementary School,2021-2022
Beall ES,516,50.6,49.4,≤5.0,14.3,15.9,22.1,≤5.0,39.5,7.9,12.8,30.6,13.4,Elementary School,2021-2022
Bel Pre ES,549,52.6,47.4,≤5.0,5.6,30.4,52.8,≤5.0,7.1,≤5.0,37.9,67.0,7.5,Elementary School,2021-2022
Bells Mill ES,579,53.0,47.0,≤5.0,29.5,12.8,9.7,≤5.0,40.2,7.4,10.0,11.2,7.3,Elementary School,2021-2022
Belmont ES,340,49.4,50.6,≤5.0,7.6,10.6,13.2,≤5.0,62.1,6.5,≤5.0,9.4,9.1,Elementary School,2021-2022
Bethesda ES,619,53.6,46.4,≤5.0,17.4,9.2,17.0,≤5.0,47.8,8.6,16.2,12.0,11.6,Elementary School,2021-2022
Beverly Farms ES,570,52.6,47.4,≤5.0,33.5,8.2,7.5,≤5.0,42.6,7.7,10.2,6.3,8.4,Elementary School,2021-2022
Bradley Hills ES,497,52.7,47.3,≤5.0,16.5,≤5.0,8.9,≤5.0,62.2,9.9,≤5.0,≤5.0,6.4,Elementary School,2021-2022
Brooke Grove ES,450,54.2,45.8,≤5.0,14.0,28.2,14.7,≤5.0,36.0,6.9,11.1,24.9,23.3,Elementary School,2021-2022
Brookhaven ES,421,52.3,47.7,≤5.0,8.3,28.5,50.4,≤5.0,8.1,≤5.0,31.1,69.1,23.3,Elementary School,2021-2022
Brown Station ES,612,50.8,49.2,≤5.0,12.9,22.9,52.6,≤5.0,7.8,≤5.0,32.2,69.1,16.7,Elementary School,2021-2022
Burning Tree ES,420,51.9,48.1,≤5.0,22.6,8.8,8.3,≤5.0,54.8,5.2,11.2,6.4,20.5,Elementary School,2021-2022
Burnt Mills ES,607,47.3,52.7,≤5.0,7.4,56.2,22.7,≤5.0,7.7,5.6,16.8,64.6,8.7,Elementary School,2021-2022
Burtonsville ES,608,52.1,47.9,≤5.0,11.7,61.2,19.4,≤5.0,5.1,≤5.0,12.7,46.9,6.9,Elementary School,2021-2022
Candlewood ES,398,55.8,44.2,≤5.0,18.1,15.1,17.3,≤5.0,41.5,7.5,18.1,21.6,9.8,Elementary School,2021-2022
Cannon Road ES,421,58.0,42.0,≤5.0,10.9,32.5,48.2,≤5.0,≤5.0,≤5.0,13.3,57.7,18.8,Elementary School,2021-2022
Carderock Springs ES,319,54.5,45.5,≤5.0,15.7,≤5.0,14.4,≤5.0,54.9,10.3,7.2,≤5.0,11.9,Elementary School,2021-2022
Rachel Carson ES,792,52.4,47.6,≤5.0,18.8,6.9,21.2,≤5.0,45.8,7.2,14.1,20.2,9.1,Elementary School,2021-2022
Cashell ES,313,49.2,50.8,≤5.0,7.0,16.3,22.0,≤5.0,40.9,13.7,8.3,25.2,16.3,Elementary School,2021-2022
Cedar Grove ES,379,47.2,52.8,≤5.0,41.2,17.2,13.2,≤5.0,23.0,≤5.0,9.8,13.5,13.2,Elementary School,2021-2022
Chevy Chase ES,441,49.2,50.8,≤5.0,9.1,19.0,9.5,≤5.0,55.1,7.3,8.6,19.7,7.3,Elementary School,2021-2022
Clarksburg ES,690,53.0,47.0,≤5.0,35.1,27.5,16.7,≤5.0,13.0,7.4,18.7,20.3,7.8,Elementary School,2021-2022
Clearspring ES,562,52.0,48.0,≤5.0,14.6,21.0,23.5,≤5.0,34.3,5.9,9.6,35.2,15.8,Elementary School,2021-2022
Clopper Mill ES,478,52.3,47.7,≤5.0,9.2,33.7,45.0,≤5.0,7.3,≤5.0,23.6,69.0,12.6,Elementary School,2021-2022
Cloverly ES,476,54.6,45.4,≤5.0,14.9,26.5,27.1,≤5.0,24.4,6.9,15.1,24.2,20.8,Elementary School,2021-2022
Cold Spring ES,317,56.5,43.5,≤5.0,40.4,≤5.0,≤5.0,≤5.0,43.8,7.9,≤5.0,≤5.0,7.9,Elementary School,2021-2022
College Gardens ES,582,51.5,48.5,≤5.0,20.3,24.4,20.1,≤5.0,27.5,7.2,13.4,23.9,11.7,Elementary School,2021-2022
Cresthaven ES,491,59.3,40.7,≤5.0,7.5,37.7,51.3,≤5.0,≤5.0,≤5.0,46.0,75.6,18.3,Elementary School,2021-2022
Capt. James E. Daly ES,578,52.9,47.1,≤5.0,6.6,32.2,53.3,≤5.0,≤5.0,≤5.0,42.9,79.6,8.1,Elementary School,2021-2022
Damascus ES,354,51.7,48.3,≤5.0,5.6,7.1,40.4,≤5.0,40.4,5.9,20.6,30.8,20.6,Elementary School,2021-2022
Darnestown ES,301,52.2,47.8,≤5.0,12.6,8.6,7.0,≤5.0,64.8,7.0,6.3,6.0,17.6,Elementary School,2021-2022
Diamond ES,780,54.1,45.9,≤5.0,50.9,8.3,10.1,≤5.0,25.6,≤5.0,19.6,6.5,12.3,Elementary School,2021-2022
Dr. Charles R. Drew ES,468,51.3,48.7,≤5.0,13.2,45.1,23.1,≤5.0,13.2,≤5.0,17.1,53.6,14.1,Elementary School,2021-2022
DuFief ES,305,55.7,44.3,≤5.0,30.5,15.1,14.8,≤5.0,28.2,11.1,19.3,14.1,33.1,Elementary School,2021-2022
East Silver Spring ES,481,55.1,44.7,≤5.0,≤5.0,52.4,21.4,≤5.0,17.9,≤5.0,19.8,54.7,15.2,Elementary School,2021-2022
Fairland ES,585,52.5,47.5,≤5.0,5.8,60.0,25.8,≤5.0,≤5.0,≤5.0,16.1,67.5,14.4,Elementary School,2021-2022
Fallsmead ES,520,51.0,49.0,≤5.0,36.7,13.3,9.2,≤5.0,35.0,≤5.0,12.1,10.8,9.8,Elementary School,2021-2022
Farmland ES,773,53.7,46.3,≤5.0,32.9,9.8,10.9,≤5.0,42.2,≤5.0,20.8,9.7,11.4,Elementary School,2021-2022
Fields Road ES,458,54.6,45.4,≤5.0,14.2,18.6,33.6,≤5.0,26.6,6.8,17.7,40.4,14.0,Elementary School,2021-2022
Flower Hill ES,441,53.1,46.9,≤5.0,12.5,24.3,50.3,≤5.0,7.0,5.9,35.4,62.6,12.2,Elementary School,2021-2022
Flower Valley ES,470,55.3,44.7,≤5.0,9.1,18.5,26.2,≤5.0,36.6,9.4,16.4,29.1,14.9,Elementary School,2021-2022
Forest Knolls ES,543,48.3,51.7,≤5.0,≤5.0,14.2,40.3,≤5.0,31.7,8.3,14.0,32.2,13.4,Elementary School,2021-2022
Fox Chapel ES,589,50.9,49.1,≤5.0,15.6,23.3,45.2,≤5.0,10.7,≤5.0,26.5,54.3,10.5,Elementary School,2021-2022
Gaithersburg ES,825,51.0,49.0,≤5.0,≤5.0,13.3,79.5,≤5.0,≤5.0,≤5.0,46.9,85.7,10.5,Elementary School,2021-2022
Galway ES,750,52.5,47.5,≤5.0,9.5,59.6,25.9,≤5.0,≤5.0,≤5.0,26.0,63.1,12.5,Elementary School,2021-2022
Garrett Park ES,729,53.6,46.4,≤5.0,15.6,14.4,23.0,≤5.0,38.0,8.5,22.5,19.8,7.5,Elementary School,2021-2022
Georgian Forest ES,568,54.0,46.0,≤5.0,≤5.0,24.6,63.4,≤5.0,6.2,≤5.0,42.1,76.9,7.4,Elementary School,2021-2022
Germantown ES,301,55.5,44.5,≤5.0,16.6,36.5,24.9,≤5.0,15.6,5.3,13.0,40.9,27.6,Elementary School,2021-2022
"William B. Gibbs, Jr. ES",551,54.3,45.7,≤5.0,27.4,28.1,20.5,≤5.0,17.4,6.5,14.3,31.4,16.9,Elementary School,2021-2022
School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,Spec. Ed.,,2021-2022
Glen Haven ES,480,48.3,51.3,≤5.0,6.5,22.5,49.4,≤5.0,16.5,≤5.0,32.7,58.1,16.5,Elementary School,2021-2022
Glenallan ES,707,52.9,47.1,≤5.0,12.3,31.0,43.1,≤5.0,10.2,≤5.0,24.5,58.4,11.2,Elementary School,2021-2022
Goshen ES,522,51.3,48.7,≤5.0,12.1,23.6,45.2,≤5.0,14.8,≤5.0,24.7,49.0,13.8,Elementary School,2021-2022
Great Seneca Creek ES,538,50.2,49.8,≤5.0,11.9,36.1,27.0,≤5.0,19.1,5.2,20.8,41.4,9.5,Elementary School,2021-2022
Greencastle ES,743,52.2,47.6,≤5.0,6.7,67.6,19.9,≤5.0,≤5.0,≤5.0,15.2,70.5,17.2,Elementary School,2021-2022
Greenwood ES,501,52.5,47.5,≤5.0,7.4,10.8,14.0,≤5.0,60.1,7.6,≤5.0,8.6,7.8,Elementary School,2021-2022
Harmony Hills ES,690,48.7,51.3,≤5.0,≤5.0,13.0,78.3,≤5.0,≤5.0,≤5.0,51.4,83.9,7.1,Elementary School,2021-2022
Highland ES,530,53.8,46.2,≤5.0,5.5,9.4,75.7,≤5.0,7.2,≤5.0,43.0,78.5,9.2,Elementary School,2021-2022
Highland View ES,382,51.3,48.7,≤5.0,≤5.0,31.2,29.8,≤5.0,31.4,5.5,30.6,48.4,8.9,Elementary School,2021-2022
Jackson Road ES,696,52.7,47.3,≤5.0,6.5,49.9,37.5,≤5.0,≤5.0,≤5.0,29.6,76.3,14.8,Elementary School,2021-2022
Jones Lane ES,402,49.3,50.7,≤5.0,9.7,7.7,33.1,≤5.0,42.0,7.2,21.1,31.3,5.2,Elementary School,2021-2022
Kemp Mill ES,458,49.6,50.4,≤5.0,≤5.0,13.3,78.8,≤5.0,≤5.0,≤5.0,50.9,85.8,6.6,Elementary School,2021-2022
Kensington Parkwood ES,596,52.0,48.0,≤5.0,9.4,8.7,13.9,≤5.0,58.1,9.9,8.1,11.7,11.1,Elementary School,2021-2022
Lake Seneca ES,461,50.1,49.9,≤5.0,5.2,36.0,41.9,≤5.0,11.1,5.6,28.4,67.2,16.3,Elementary School,2021-2022
Lakewood ES,415,52.0,48.0,≤5.0,49.9,11.1,10.8,≤5.0,21.2,6.3,11.1,10.4,14.0,Elementary School,2021-2022
Laytonsville ES,369,49.9,50.1,≤5.0,7.9,18.2,28.7,≤5.0,37.4,7.3,9.8,22.0,15.2,Elementary School,2021-2022
JoAnn Leleck ES,821,51.4,48.6,≤5.0,≤5.0,11.7,84.9,≤5.0,≤5.0,≤5.0,67.0,91.5,5.5,Elementary School,2021-2022
Little Bennett ES,639,55.1,44.9,≤5.0,28.5,25.2,17.5,≤5.0,21.0,6.9,13.9,22.1,21.9,Elementary School,2021-2022
Luxmanor ES,656,54.3,45.7,≤5.0,25.9,16.5,21.8,≤5.0,29.4,6.4,27.6,22.9,14.3,Elementary School,2021-2022
Thurgood Marshall ES,556,52.7,47.3,≤5.0,15.5,21.2,29.9,≤5.0,29.3,≤5.0,18.5,39.2,17.3,Elementary School,2021-2022
Maryvale ES,571,46.4,53.6,≤5.0,9.8,26.3,32.6,≤5.0,23.1,8.2,22.6,45.9,13.1,Elementary School,2021-2022
Spark M. Matsunaga ES,663,53.5,46.5,≤5.0,40.9,21.1,15.7,≤5.0,16.3,5.6,9.5,23.5,9.8,Elementary School,2021-2022
S. Christa McAuliffe ES,565,52.7,47.3,≤5.0,8.0,36.6,36.1,≤5.0,12.4,6.2,25.7,56.6,12.2,Elementary School,2021-2022
Ronald McNair ES,800,53.9,46.1,≤5.0,27.6,29.4,18.5,≤5.0,17.0,7.5,14.3,29.8,10.1,Elementary School,2021-2022
Meadow Hall ES,406,52.0,48.0,≤5.0,6.9,12.8,56.7,≤5.0,18.5,≤5.0,30.8,58.1,18.2,Elementary School,2021-2022
Mill Creek Towne ES,482,54.6,45.4,≤5.0,14.9,17.2,42.5,≤5.0,17.8,6.8,23.4,40.5,17.0,Elementary School,2021-2022
Monocacy ES,136,52.9,47.1,≤5.0,5.9,≤5.0,15.4,≤5.0,69.9,5.1,9.6,22.8,15.4,Elementary School,2021-2022
Montgomery Knolls ES,490,49.4,50.6,≤5.0,5.1,25.9,43.9,≤5.0,19.2,5.9,33.3,54.5,16.3,Elementary School,2021-2022
New Hampshire Estates ES,448,51.3,48.7,≤5.0,≤5.0,17.0,75.4,≤5.0,≤5.0,≤5.0,57.4,92.4,8.0,Elementary School,2021-2022
Roscoe R. Nix ES,481,50.7,49.3,≤5.0,7.3,36.4,49.7,≤5.0,≤5.0,≤5.0,44.5,72.1,10.6,Elementary School,2021-2022
North Chevy Chase ES,225,52.4,47.6,≤5.0,8.4,20.0,13.8,≤5.0,50.2,7.6,6.7,24.4,10.2,Elementary School,2021-2022
Oak View ES,419,52.3,47.7,≤5.0,≤5.0,12.6,64.4,≤5.0,16.0,≤5.0,39.6,73.3,6.9,Elementary School,2021-2022
Oakland Terrace ES,512,49.6,50.4,≤5.0,≤5.0,15.6,35.5,≤5.0,35.7,8.2,14.6,32.2,18.0,Elementary School,2021-2022
Olney ES,634,52.4,47.6,≤5.0,14.2,14.5,15.5,≤5.0,49.2,6.3,10.9,16.9,10.7,Elementary School,2021-2022
William Tyler Page ES,622,49.0,50.8,≤5.0,10.3,45.2,25.4,≤5.0,13.7,5.1,10.3,41.2,7.4,Elementary School,2021-2022
Pine Crest ES,446,51.6,48.2,≤5.0,7.2,23.5,38.1,≤5.0,25.1,6.1,27.8,49.1,11.0,Elementary School,2021-2022
Piney Branch ES,626,52.1,47.9,≤5.0,≤5.0,31.5,17.9,≤5.0,39.9,6.7,17.1,33.4,11.7,Elementary School,2021-2022
Poolesville ES,474,51.5,48.5,≤5.0,9.5,7.8,15.0,≤5.0,59.1,8.4,5.3,15.6,8.9,Elementary School,2021-2022
Potomac ES,393,51.9,48.1,≤5.0,28.8,10.4,9.7,≤5.0,38.9,12.0,5.3,≤5.0,≤5.0,Elementary School,2021-2022
Judith A. Resnik ES,591,50.3,49.7,≤5.0,11.0,27.4,41.6,≤5.0,13.7,5.8,24.5,57.4,12.4,Elementary School,2021-2022
Dr. Sally K. Ride ES,475,54.3,45.7,≤5.0,12.2,35.4,37.9,≤5.0,8.6,5.7,25.7,58.9,24.0,Elementary School,2021-2022
Ritchie Park ES,384,43.0,57.0,≤5.0,15.6,14.6,13.8,≤5.0,48.7,6.8,7.0,12.5,7.6,Elementary School,2021-2022
Rock Creek Forest ES,734,49.7,50.3,≤5.0,7.2,18.9,35.1,≤5.0,32.3,6.1,18.9,30.9,12.9,Elementary School,2021-2022
Rock Creek Valley ES,422,53.3,46.7,≤5.0,15.2,8.3,40.5,≤5.0,30.3,5.7,19.9,30.3,23.5,Elementary School,2021-2022
Rock View ES,625,56.5,43.5,≤5.0,9.3,13.6,49.1,≤5.0,21.3,5.9,29.0,50.4,25.0,Elementary School,2021-2022
Lois P. Rockwell ES,460,55.0,45.0,≤5.0,11.1,13.5,26.5,≤5.0,41.1,7.2,12.4,25.7,23.0,Elementary School,2021-2022
Rolling Terrace ES,727,51.0,49.0,≤5.0,≤5.0,15.3,73.7,≤5.0,6.1,≤5.0,54.1,81.7,8.4,Elementary School,2021-2022
Rosemary Hills ES,516,51.2,48.8,≤5.0,5.4,29.1,16.9,≤5.0,41.5,7.0,14.7,31.6,12.6,Elementary School,2021-2022
Rosemont ES,602,49.8,50.2,≤5.0,8.8,30.9,46.2,≤5.0,7.5,5.6,34.9,63.5,12.8,Elementary School,2021-2022
