school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Capt. James E. Daly ES,594,51.9,48.1,≤5.0,6.1,34.2,42.6,≤5.0,12.3,≤5.0,34.8,67.2,11.3,Elementary School,2012-2013
Damascus ES,303,48.2,51.8,≤5.0,≤5.0,≤5.0,23.8,≤5.0,64.4,≤5.0,16.8,26.1,16.8,Elementary School,2012-2013
Darnestown ES,345,56.5,43.5,≤5.0,10.4,≤5.0,5.2,≤5.0,74.5,6.1,≤5.0,≤5.0,≤5.0,Elementary School,2012-2013
Diamond ES,606,52.6,47.4,≤5.0,39.3,7.9,10.7,≤5.0,37.0,5.1,20.0,12.0,9.9,Elementary School,2012-2013
Dr. Charles R. Drew ES,469,51.8,48.2,≤5.0,14.3,45.0,22.4,≤5.0,13.9,≤5.0,20.9,49.9,13.6,Elementary School,2012-2013
DuFief ES,368,52.7,47.3,≤5.0,28.5,9.2,8.4,≤5.0,49.2,≤5.0,15.8,10.1,20.1,Elementary School,2012-2013
East Silver Spring ES,484,54.1,45.9,≤5.0,5.2,52.5,22.3,≤5.0,17.1,≤5.0,34.1,56.8,15.7,Elementary School,2012-2013
Fairland ES,602,50.3,49.7,≤5.0,9.8,57.0,20.6,≤5.0,9.3,≤5.0,19.9,54.2,8.0,Elementary School,2012-2013
Fallsmead ES,531,52.9,47.1,≤5.0,31.5,7.5,8.9,≤5.0,47.5,≤5.0,13.0,8.3,8.3,Elementary School,2012-2013
Farmland ES,650,52.5,47.5,≤5.0,35.2,≤5.0,8.2,≤5.0,47.5,≤5.0,28.3,7.2,7.5,Elementary School,2012-2013
Fields Road ES,472,49.8,50.2,≤5.0,18.9,18.0,23.9,≤5.0,33.3,5.5,19.7,38.6,7.4,Elementary School,2012-2013
Flower Hill ES,483,48.9,51.1,≤5.0,14.5,28.8,42.2,≤5.0,8.5,5.6,35.2,65.2,10.6,Elementary School,2012-2013
Flower Valley ES,472,52.1,47.9,≤5.0,10.4,12.7,18.9,≤5.0,54.2,≤5.0,11.2,17.4,13.6,Elementary School,2012-2013
Forest Knolls ES,683,51.0,49.0,≤5.0,7.2,14.2,41.3,≤5.0,32.8,≤5.0,28.3,40.0,9.2,Elementary School,2012-2013
Fox Chapel ES,622,52.6,47.4,≤5.0,21.5,24.6,38.7,≤5.0,11.1,≤5.0,36.2,51.6,5.5,Elementary School,2012-2013
Gaithersburg ES,740,50.4,49.6,≤5.0,5.7,16.1,70.0,≤5.0,5.7,≤5.0,52.2,77.4,8.1,Elementary School,2012-2013
Galway ES,826,49.9,50.1,≤5.0,13.3,56.9,22.5,≤5.0,≤5.0,≤5.0,28.6,56.1,8.5,Elementary School,2012-2013
Garrett Park ES,632,52.7,47.3,≤5.0,15.8,8.7,25.0,≤5.0,42.7,7.0,21.7,13.8,5.2,Elementary School,2012-2013
Georgian Forest ES,554,54.9,45.1,≤5.0,8.7,36.5,44.9,≤5.0,7.0,≤5.0,34.8,76.2,8.5,Elementary School,2012-2013
Germantown ES,298,52.0,48.0,≤5.0,16.4,29.9,30.9,≤5.0,19.8,≤5.0,12.4,30.2,15.1,Elementary School,2012-2013
"William B. Gibbs, Jr. ES",753,50.1,49.9,≤5.0,32.9,19.8,16.3,≤5.0,24.0,6.5,20.6,25.8,12.6,Elementary School,2012-2013
Glen Haven ES,554,52.0,48.0,≤5.0,9.0,22.7,51.3,≤5.0,13.9,≤5.0,36.8,67.7,11.9,Elementary School,2012-2013
Glenallan ES,468,49.8,50.2,≤5.0,11.8,29.3,48.5,≤5.0,6.0,≤5.0,38.7,67.9,8.5,Elementary School,2012-2013
Goshen ES,580,49.7,50.3,≤5.0,11.0,26.4,28.8,≤5.0,26.4,7.1,24.1,39.1,14.0,Elementary School,2012-2013
Great Seneca Creek ES,766,49.2,50.8,≤5.0,14.8,26.0,23.4,≤5.0,27.8,7.4,16.2,33.2,8.2,Elementary School,2012-2013
Greencastle ES,718,50.7,49.3,≤5.0,8.6,70.3,16.3,≤5.0,≤5.0,≤5.0,18.5,63.9,11.6,Elementary School,2012-2013
Greenwood ES,529,50.1,49.9,≤5.0,8.3,7.2,9.1,≤5.0,69.9,5.5,6.0,7.8,5.1,Elementary School,2012-2013
Harmony Hills ES,740,50.5,49.5,≤5.0,6.2,18.0,71.5,≤5.0,≤5.0,≤5.0,57.2,88.4,7.2,Elementary School,2012-2013
Highland ES,534,52.4,47.6,≤5.0,5.6,12.7,74.0,≤5.0,≤5.0,≤5.0,59.6,82.2,13.3,Elementary School,2012-2013
Highland View ES,393,51.1,48.9,≤5.0,≤5.0,24.4,27.5,≤5.0,38.9,5.6,32.1,42.2,5.9,Elementary School,2012-2013
Jackson Road ES,677,54.8,45.2,≤5.0,11.2,48.7,34.3,≤5.0,≤5.0,≤5.0,29.7,70.8,13.1,Elementary School,2012-2013
Jones Lane ES,489,55.6,44.4,≤5.0,12.7,10.6,23.3,≤5.0,47.4,5.5,16.4,27.0,13.7,Elementary School,2012-2013
Kemp Mill ES,477,48.8,51.2,≤5.0,5.5,20.1,67.7,≤5.0,≤5.0,≤5.0,55.1,75.7,8.6,Elementary School,2012-2013
Kensington Parkwood ES,654,52.0,48.0,≤5.0,7.0,5.7,8.6,≤5.0,73.9,≤5.0,5.4,6.1,10.2,Elementary School,2012-2013
Lake Seneca ES,450,51.3,48.7,≤5.0,10.4,30.4,30.7,≤5.0,22.9,5.3,26.2,44.9,17.8,Elementary School,2012-2013
Lakewood ES,569,50.1,49.9,≤5.0,43.6,≤5.0,7.2,≤5.0,39.4,5.3,9.0,≤5.0,6.9,Elementary School,2012-2013
Laytonsville ES,470,53.4,46.6,≤5.0,9.4,11.1,12.3,≤5.0,60.0,7.0,6.0,14.0,11.9,Elementary School,2012-2013
Little Bennett ES,957,50.4,49.6,≤5.0,29.7,18.3,9.1,≤5.0,35.0,7.7,13.2,12.5,6.2,Elementary School,2012-2013
Luxmanor ES,452,49.3,50.7,≤5.0,21.2,13.3,18.1,≤5.0,44.0,≤5.0,19.2,15.3,9.1,Elementary School,2012-2013
Thurgood Marshall ES,590,53.6,46.4,≤5.0,16.6,13.4,26.3,≤5.0,37.5,5.4,16.6,27.1,12.7,Elementary School,2012-2013
Maryvale ES,581,48.5,51.5,≤5.0,8.8,27.9,31.8,≤5.0,25.1,5.9,30.6,43.2,7.4,Elementary School,2012-2013
Spark M. Matsunaga ES,1009,51.4,48.6,≤5.0,37.5,15.5,11.0,≤5.0,30.3,5.6,14.6,15.7,5.7,Elementary School,2012-2013
S. Christa McAuliffe ES,636,50.8,49.2,≤5.0,10.5,29.6,33.8,≤5.0,17.9,7.7,24.7,48.7,7.5,Elementary School,2012-2013
Ronald McNair ES,791,50.3,49.7,≤5.0,29.1,23.0,15.8,≤5.0,27.1,5.1,19.3,25.2,7.7,Elementary School,2012-2013
Meadow Hall ES,425,52.9,47.1,≤5.0,9.6,12.9,50.8,≤5.0,20.9,≤5.0,26.6,53.6,16.2,Elementary School,2012-2013
Mill Creek Towne ES,408,55.1,44.9,≤5.0,12.7,15.0,40.7,≤5.0,26.7,≤5.0,30.9,42.2,19.1,Elementary School,2012-2013
Monocacy ES,160,51.9,48.1,≤5.0,≤5.0,6.3,7.5,≤5.0,76.3,7.5,≤5.0,13.1,16.3,Elementary School,2012-2013
Montgomery Knolls ES,488,50.4,49.6,≤5.0,7.6,22.7,49.2,≤5.0,18.0,≤5.0,46.5,61.7,17.2,Elementary School,2012-2013
New Hampshire Estates ES,509,47.3,52.7,≤5.0,≤5.0,14.5,79.8,≤5.0,≤5.0,≤5.0,76.4,90.4,7.7,Elementary School,2012-2013
Roscoe R. Nix ES,544,52.0,48.0,≤5.0,12.1,34.6,46.5,≤5.0,5.1,≤5.0,42.5,68.4,7.2,Elementary School,2012-2013
North Chevy Chase ES,409,48.7,51.3,≤5.0,5.9,11.0,14.4,≤5.0,61.4,6.8,5.1,7.1,12.0,Elementary School,2012-2013
Oak View ES,352,50.6,49.4,≤5.0,8.2,18.8,55.4,≤5.0,15.6,≤5.0,38.6,69.9,11.9,Elementary School,2012-2013
Oakland Terrace ES,518,54.1,45.9,≤5.0,8.5,14.7,27.2,≤5.0,41.9,7.3,18.5,32.0,9.8,Elementary School,2012-2013
Olney ES,612,54.1,45.9,≤5.0,10.6,14.7,14.5,≤5.0,53.3,6.5,7.2,18.1,6.5,Elementary School,2012-2013
William Tyler Page ES,403,51.9,48.1,≤5.0,20.6,50.4,18.1,≤5.0,6.9,≤5.0,22.3,50.1,5.2,Elementary School,2012-2013
Pine Crest ES,438,47.3,52.7,≤5.0,13.7,17.6,35.8,≤5.0,28.1,≤5.0,24.7,47.7,≤5.0,Elementary School,2012-2013
Piney Branch ES,492,49.6,50.4,≤5.0,≤5.0,34.1,17.3,≤5.0,38.4,5.7,16.3,33.9,8.7,Elementary School,2012-2013
Poolesville ES,390,53.6,46.4,≤5.0,≤5.0,≤5.0,12.6,≤5.0,76.2,≤5.0,5.1,14.4,9.7,Elementary School,2012-2013
Potomac ES,496,52.4,47.6,≤5.0,30.6,≤5.0,≤5.0,≤5.0,58.3,≤5.0,7.1,≤5.0,6.5,Elementary School,2012-2013
Judith A. Resnik ES,592,49.2,50.8,≤5.0,11.0,27.9,41.0,≤5.0,15.0,≤5.0,32.1,54.4,8.6,Elementary School,2012-2013
Dr. Sally K. Ride ES,510,56.3,43.7,≤5.0,23.5,28.6,24.3,≤5.0,16.9,6.3,20.4,42.5,16.3,Elementary School,2012-2013
Ritchie Park ES,522,52.1,47.9,≤5.0,20.5,10.2,16.1,≤5.0,48.1,≤5.0,13.2,16.5,7.3,Elementary School,2012-2013
Rock Creek Forest ES,597,48.9,51.1,≤5.0,≤5.0,15.2,30.3,≤5.0,43.2,5.7,18.8,22.9,6.4,Elementary School,2012-2013
Rock Creek Valley ES,416,54.1,45.9,≤5.0,11.3,7.2,40.9,≤5.0,32.0,7.9,27.9,35.3,21.4,Elementary School,2012-2013
Rock View ES,630,49.5,50.5,≤5.0,11.4,16.2,44.0,≤5.0,22.9,5.4,38.6,48.7,12.5,Elementary School,2012-2013
Lois P. Rockwell ES,449,52.6,47.4,≤5.0,10.7,12.2,21.2,≤5.0,49.2,6.2,16.9,23.6,18.7,Elementary School,2012-2013
Rolling Terrace ES,816,51.2,48.8,≤5.0,≤5.0,14.5,62.0,≤5.0,15.9,≤5.0,48.5,66.8,5.8,Elementary School,2012-2013
Rosemary Hills ES,731,50.5,49.5,≤5.0,5.2,13.0,16.1,≤5.0,57.7,7.7,17.5,21.1,7.0,Elementary School,2012-2013
Rosemont ES,532,54.5,45.5,≤5.0,10.0,23.1,44.2,≤5.0,15.8,6.4,35.2,59.0,10.7,Elementary School,2012-2013
Sequoyah ES,445,52.4,47.6,≤5.0,9.2,17.1,40.7,≤5.0,28.5,≤5.0,37.1,49.4,13.3,Elementary School,2012-2013
Seven Locks ES,358,56.4,43.6,≤5.0,16.8,8.9,9.5,≤5.0,57.5,6.7,8.1,6.1,5.3,Elementary School,2012-2013
Sherwood ES,489,48.5,51.5,≤5.0,13.5,18.2,10.2,≤5.0,53.2,≤5.0,9.0,13.5,10.2,Elementary School,2012-2013
Sargent Shriver ES,756,48.8,51.2,≤5.0,9.0,12.3,73.1,≤5.0,≤5.0,≤5.0,62.4,82.1,9.3,Elementary School,2012-2013
Flora M. Singer ES,505,50.7,49.3,≤5.0,7.1,14.7,32.7,≤5.0,39.0,5.7,30.7,37.0,13.5,Elementary School,2012-2013
Sligo Creek ES,564,47.0,53.0,≤5.0,≤5.0,21.5,11.0,≤5.0,53.0,9.4,7.3,14.4,9.4,Elementary School,2012-2013
Somerset ES,516,49.8,50.2,≤5.0,11.2,≤5.0,11.0,≤5.0,68.0,5.2,15.9,≤5.0,5.6,Elementary School,2012-2013
South Lake ES,785,49.6,50.4,≤5.0,7.9,32.0,52.9,≤5.0,≤5.0,≤5.0,48.0,76.2,6.5,Elementary School,2012-2013
Stedwick ES,594,52.7,47.3,≤5.0,7.6,34.7,34.8,≤5.0,16.5,5.6,33.3,57.4,8.1,Elementary School,2012-2013
Stone Mill ES,628,52.1,47.9,≤5.0,44.7,13.5,6.5,≤5.0,30.7,≤5.0,16.7,13.5,14.2,Elementary School,2012-2013
Stonegate ES,468,54.9,45.1,≤5.0,14.1,32.1,15.8,≤5.0,32.5,5.6,6.8,22.9,11.1,Elementary School,2012-2013
Strathmore ES,407,50.1,49.9,≤5.0,7.4,44.7,37.6,≤5.0,6.1,≤5.0,24.8,61.7,14.0,Elementary School,2012-2013
Strawberry Knoll ES,558,50.9,49.1,≤5.0,14.5,33.0,33.3,≤5.0,15.4,≤5.0,23.8,52.3,17.9,Elementary School,2012-2013
Summit Hall ES,608,50.5,49.5,≤5.0,5.4,25.8,62.2,≤5.0,≤5.0,≤5.0,51.2,77.6,7.7,Elementary School,2012-2013
Takoma Park ES,587,49.7,50.3,≤5.0,5.1,32.2,18.4,≤5.0,38.2,6.0,29.5,38.0,5.3,Elementary School,2012-2013
Travilah ES,429,51.7,48.3,≤5.0,41.7,5.4,≤5.0,≤5.0,43.4,5.8,13.8,5.1,5.6,Elementary School,2012-2013
Twinbrook ES,551,55.4,44.6,≤5.0,15.8,11.3,58.4,≤5.0,10.7,≤5.0,48.8,65.2,8.9,Elementary School,2012-2013
Viers Mill ES,646,50.8,49.2,≤5.0,8.2,12.1,63.5,≤5.0,13.3,≤5.0,48.5,71.1,19.0,Elementary School,2012-2013
Washington Grove ES,383,57.4,42.6,≤5.0,9.9,18.0,56.9,≤5.0,10.4,≤5.0,52.7,73.4,17.5,Elementary School,2012-2013
Waters Landing ES,669,52.6,47.4,≤5.0,11.1,30.9,28.1,≤5.0,23.8,5.5,25.9,44.7,10.6,Elementary School,2012-2013
Watkins Mill ES,648,51.9,48.1,≤5.0,11.0,34.9,41.7,≤5.0,7.7,≤5.0,36.9,66.2,10.3,Elementary School,2012-2013
Wayside ES,535,46.9,53.1,≤5.0,30.5,5.8,≤5.0,≤5.0,52.5,6.2,9.2,≤5.0,7.9,Elementary School,2012-2013
Weller Road ES,604,52.5,47.5,≤5.0,8.9,12.4,73.3,≤5.0,≤5.0,≤5.0,60.3,79.8,7.1,Elementary School,2012-2013
Westbrook ES,435,51.0,49.0,≤5.0,≤5.0,≤5.0,7.6,≤5.0,81.4,6.9,5.3,≤5.0,8.5,Elementary School,2012-2013
Westover ES,321,59.5,40.5,≤5.0,15.3,32.1,19.9,≤5.0,27.1,≤5.0,11.2,24.0,23.7,Elementary School,2012-2013
Wheaton Woods ES,471,53.7,46.3,≤5.0,7.2,27.0,58.2,≤5.0,6.2,≤5.0,53.7,81.1,5.5,Elementary School,2012-2013
Whetstone ES,708,55.2,44.8,≤5.0,8.3,27.3,47.2,≤5.0,14.1,≤5.0,36.0,62.6,18.8,Elementary School,2012-2013
Wood Acres ES,767,52.7,47.3,≤5.0,10.0,≤5.0,7.8,≤5.0,73.4,5.7,6.6,≤5.0,6.4,Elementary School,2012-2013
Woodfield ES,325,53.2,46.8,≤5.0,≤5.0,8.6,16.0,≤5.0,66.2,≤5.0,6.5,18.8,10.8,Elementary School,2012-2013
Woodlin ES,562,52.7,47.3,≤5.0,6.8,27.6,17.4,≤5.0,42.5,5.3,11.7,22.6,13.3,Elementary School,2012-2013
Wyngate ES,709,50.5,49.5,≤5.0,7.6,≤5.0,8.9,≤5.0,72.5,7.5,8.5,≤5.0,6.5,Elementary School,2012-2013
Argyle MS,795,55.7,44.3,≤5.0,10.7,37.7,39.4,≤5.0,9.4,≤5.0,14.5,56.6,9.3,Middle School,2012-2013
John T. Baker MS,794,49.0,51.0,≤5.0,≤5.0,9.1,16.4,≤5.0,64.9,≤5.0,≤5.0,17.8,11.5,Middle School,2012-2013
Benjamin Banneker MS,769,48.9,51.1,≤5.0,10.8,61.0,14.4,≤5.0,7.9,5.6,≤5.0,45.9,10.0,Middle School,2012-2013
Briggs Chaney MS,875,51.5,48.5,≤5.0,13.7,49.4,19.9,≤5.0,12.2,≤5.0,7.0,44.2,11.1,Middle School,2012-2013
Cabin John MS,923,52.8,47.2,≤5.0,26.4,10.0,9.0,≤5.0,51.8,≤5.0,≤5.0,7.2,14.7,Middle School,2012-2013
Roberto W. Clemente MS,1157,51.3,48.7,≤5.0,25.2,27.2,22.5,≤5.0,19.8,≤5.0,≤5.0,34.9,12.6,Middle School,2012-2013
Eastern MS,877,43.1,56.9,≤5.0,14.3,20.4,37.3,≤5.0,22.6,5.5,12.2,46.6,8.6,Middle School,2012-2013
William H. Farquhar MS,638,50.9,49.1,≤5.0,13.5,20.4,11.6,≤5.0,49.2,5.3,≤5.0,12.4,12.2,Middle School,2012-2013
Forest Oak MS,771,50.6,49.4,≤5.0,9.6,25.8,44.6,≤5.0,15.3,≤5.0,17.3,53.3,14.4,Middle School,2012-2013
Robert Frost MS,1139,50.0,50.0,≤5.0,36.7,5.7,6.7,≤5.0,46.5,≤5.0,≤5.0,5.4,6.9,Middle School,2012-2013
Gaithersburg MS,682,50.1,49.9,≤5.0,8.7,23.5,35.3,≤5.0,27.3,5.1,11.9,42.7,17.0,Middle School,2012-2013
Herbert Hoover MS,999,53.2,46.8,≤5.0,24.6,7.2,7.0,≤5.0,55.2,5.9,≤5.0,≤5.0,8.5,Middle School,2012-2013
Francis Scott Key MS,867,49.5,50.5,≤5.0,11.0,47.3,34.6,≤5.0,5.5,≤5.0,14.9,63.1,11.9,Middle School,2012-2013
"Dr. Martin Luther King, Jr.  MS",595,46.4,53.6,≤5.0,12.1,29.9,27.1,≤5.0,23.5,6.9,7.1,40.2,9.4,Middle School,2012-2013
Kingsview MS,949,51.4,48.6,≤5.0,25.2,22.7,12.2,≤5.0,34.1,5.7,≤5.0,20.0,7.9,Middle School,2012-2013
Lakelands Park MS,980,51.9,48.1,≤5.0,12.3,14.9,18.9,≤5.0,49.2,≤5.0,5.2,22.4,14.6,Middle School,2012-2013
Col. E. Brooke Lee MS,598,53.5,46.5,≤5.0,8.0,32.6,51.7,≤5.0,5.7,≤5.0,21.2,64.5,13.9,Middle School,2012-2013
A. Mario Loiederman MS,808,42.1,57.9,≤5.0,6.8,26.0,49.4,≤5.0,13.7,≤5.0,14.0,55.8,13.1,Middle School,2012-2013
Montgomery Village MS,600,53.2,46.8,≤5.0,8.5,34.8,40.2,≤5.0,11.0,5.5,15.7,59.7,13.5,Middle School,2012-2013
Neelsville MS,825,51.8,48.2,≤5.0,10.7,33.6,40.2,≤5.0,10.3,≤5.0,14.5,56.6,9.2,Middle School,2012-2013
Newport Mill MS,575,48.2,51.8,≤5.0,12.3,19.0,44.9,≤5.0,20.5,≤5.0,12.7,52.0,17.7,Middle School,2012-2013
North Bethesda MS,819,48.6,51.4,≤5.0,9.8,7.2,13.6,≤5.0,61.7,7.4,≤5.0,≤5.0,10.3,Middle School,2012-2013
Parkland MS,872,53.8,46.2,≤5.0,17.5,24.2,43.2,≤5.0,12.2,≤5.0,10.4,46.8,9.5,Middle School,2012-2013
Rosa M. Parks MS,871,52.2,47.8,≤5.0,9.2,11.7,12.6,≤5.0,62.8,≤5.0,≤5.0,11.7,10.0,Middle School,2012-2013
John Poole MS,351,49.9,50.1,≤5.0,≤5.0,5.4,12.8,≤5.0,71.8,5.4,≤5.0,14.5,10.0,Middle School,2012-2013
Thomas W. Pyle MS,1370,48.9,51.1,≤5.0,11.2,≤5.0,8.1,≤5.0,72.1,5.7,≤5.0,≤5.0,7.7,Middle School,2012-2013
Redland MS,534,49.1,50.9,≤5.0,13.7,17.0,33.7,≤5.0,30.3,5.2,9.7,39.5,11.8,Middle School,2012-2013
Ridgeview MS,685,49.5,50.5,≤5.0,15.3,13.9,22.2,≤5.0,43.6,≤5.0,5.5,24.5,6.1,Middle School,2012-2013
Rocky Hill MS,998,47.6,52.4,≤5.0,24.3,21.0,15.2,≤5.0,34.9,≤5.0,≤5.0,19.0,8.1,Middle School,2012-2013
Shady Grove MS,551,54.8,45.2,≤5.0,16.7,20.5,31.2,≤5.0,26.7,≤5.0,7.1,33.9,12.3,Middle School,2012-2013
Silver Spring International MS,916,50.3,49.7,≤5.0,6.1,24.9,37.1,≤5.0,27.3,≤5.0,14.3,43.7,11.6,Middle School,2012-2013
Sligo MS,411,43.6,56.4,≤5.0,8.5,22.9,42.8,≤5.0,22.1,≤5.0,12.9,47.9,13.9,Middle School,2012-2013
Takoma Park MS,918,55.1,44.9,≤5.0,19.6,27.7,15.1,≤5.0,31.0,6.3,6.9,26.1,6.1,Middle School,2012-2013
Tilden MS,772,54.7,45.3,≤5.0,15.7,9.8,16.7,≤5.0,53.6,≤5.0,10.9,12.8,14.6,Middle School,2012-2013
Julius West MS,1118,49.4,50.6,≤5.0,20.7,17.4,25.8,≤5.0,30.1,5.7,12.3,29.0,8.3,Middle School,2012-2013
Westland MS,1197,50.7,49.3,≤5.0,5.5,12.0,15.3,≤5.0,61.2,5.5,≤5.0,10.7,9.1,Middle School,2012-2013
White Oak MS,706,54.0,46.0,≤5.0,10.1,35.8,38.1,≤5.0,12.6,≤5.0,16.9,58.1,11.8,Middle School,2012-2013
Earle B. Wood MS,922,54.6,45.4,≤5.0,11.1,15.7,35.5,≤5.0,33.3,≤5.0,8.4,35.9,14.5,Middle School,2012-2013
Bethesda-Chevy Chase HS,1835,50.4,49.6,≤5.0,6.3,15.4,15.9,≤5.0,57.6,≤5.0,5.1,11.0,9.3,High School,2012-2013
Montgomery Blair HS,2806,52.2,47.8,≤5.0,16.7,26.2,29.9,≤5.0,23.4,≤5.0,9.9,35.4,6.8,High School,2012-2013
James Hubert Blake HS,1755,47.7,52.3,≤5.0,9.3,43.6,20.2,≤5.0,22.6,≤5.0,≤5.0,29.3,8.7,High School,2012-2013
Winston Churchill HS,2092,52.0,48.0,≤5.0,22.1,7.9,8.0,≤5.0,57.8,≤5.0,≤5.0,≤5.0,11.2,High School,2012-2013
Clarksburg HS,1901,51.4,48.6,≤5.0,16.9,28.2,24.3,≤5.0,26.9,≤5.0,≤5.0,27.9,10.2,High School,2012-2013
Damascus HS,1308,50.8,49.2,≤5.0,5.2,9.3,13.1,≤5.0,67.4,≤5.0,≤5.0,12.6,13.2,High School,2012-2013
Thomas Edison HS of Technology,516,69.2,30.8,≤5.0,7.2,23.8,46.1,≤5.0,20.9,≤5.0,12.0,46.3,30.4,High School,2012-2013
Albert Einstein HS,1581,48.5,51.5,≤5.0,10.1,21.9,43.9,≤5.0,21.3,≤5.0,7.6,41.6,14.4,High School,2012-2013
